arena_number,arena_name,card_name,url,elixir,rarity,type,damage_lv11,hp_lv11,dps_lv11,transport
0,Training Camp,Arrows,https://clashroyale.fandom.com/wiki/Arrows,3.0,Common,Spell,122.0,,,
0,Training Camp,Minions,https://clashroyale.fandom.com/wiki/Minions,3.0,Common,Troop,107.0,230.0,,air
0,Training Camp,Archers,https://clashroyale.fandom.com/wiki/Archers,3.0,Common,Troop,112.0,304.0,,ground
0,Training Camp,Knight,https://clashroyale.fandom.com/wiki/Knight,3.0,Common,Troop,202.0,1766.0,,ground
0,Training Camp,Fireball,https://clashroyale.fandom.com/wiki/Fireball,4.0,Rare,Spell,688.0,,,
0,Training Camp,Mini P.E.K.K.A.,https://clashroyale.fandom.com/wiki/Mini_P.E.K.K.A.,4.0,Rare,Troop,755.0,1433.0,,ground
0,Training Camp,Musketeer,https://clashroyale.fandom.com/wiki/Musketeer,4.0,Rare,Troop,217.0,721.0,217.0,ground
0,Training Camp,Giant,https://clashroyale.fandom.com/wiki/Giant,5.0,Rare,Troop,253.0,4090.0,,ground
0,Training Camp,Tower Princess,https://clashroyale.fandom.com/wiki/Tower_Princess,,Common,Tower Troop,109.0,3052.0,,
1,Goblin Stadium,Spear Goblins,https://clashroyale.fandom.com/wiki/Spear_Goblins,2.0,Common,Troop,81.0,133.0,47.0,ground
1,Goblin Stadium,Goblins,https://clashroyale.fandom.com/wiki/Goblins,2.0,Common,Troop,120.0,202.0,109.0,ground
1,Goblin Stadium,Goblin Cage,https://clashroyale.fandom.com/wiki/Goblin_Cage,4.0,Rare,Building,,,,
1,Goblin Stadium,Goblin Hut,https://clashroyale.fandom.com/wiki/Goblin_Hut,4.0,Rare,Building,,,,
1,Goblin Stadium,Goblins,https://clashroyale.fandom.com/wiki/Goblins,2.0,Common,Troop,120.0,202.0,109.0,ground
1,Goblin Stadium,Spear Goblins,https://clashroyale.fandom.com/wiki/Spear_Goblins,2.0,Common,Troop,81.0,133.0,47.0,ground
1,Goblin Stadium,Goblin Cage,https://clashroyale.fandom.com/wiki/Goblin_Cage,4.0,Rare,Building,,,,
1,Goblin Stadium,Goblin Hut,https://clashroyale.fandom.com/wiki/Goblin_Hut,4.0,Rare,Building,,,,
2,Bone Pit,Bomber,https://clashroyale.fandom.com/wiki/Bomber,2.0,Common,Troop,225.0,304.0,125.0,ground
2,Bone Pit,Skeletons,https://clashroyale.fandom.com/wiki/Skeletons,1.0,Common,Troop,81.0,81.0,81.0,ground
2,Bone Pit,Tombstone,https://clashroyale.fandom.com/wiki/Tombstone,3.0,Rare,Building,,,,
2,Bone Pit,Valkyrie,https://clashroyale.fandom.com/wiki/Valkyrie,4.0,Rare,Troop,266.0,1907.0,177.0,ground
2,Bone Pit,Skeletons,https://clashroyale.fandom.com/wiki/Skeletons,1.0,Common,Troop,81.0,81.0,81.0,ground
2,Bone Pit,Bomber,https://clashroyale.fandom.com/wiki/Bomber,2.0,Common,Troop,225.0,304.0,125.0,ground
2,Bone Pit,Tombstone,https://clashroyale.fandom.com/wiki/Tombstone,3.0,Rare,Building,,,,
2,Bone Pit,Valkyrie,https://clashroyale.fandom.com/wiki/Valkyrie,4.0,Rare,Troop,266.0,1907.0,177.0,ground
3,Barbarian Bowl,Cannon,https://clashroyale.fandom.com/wiki/Cannon,3.0,Common,Building,212.0,824.0,212.0,
3,Barbarian Bowl,Barbarians,https://clashroyale.fandom.com/wiki/Barbarians,5.0,Common,Troop,192.0,670.0,147.0,ground
3,Barbarian Bowl,Mega Minion,https://clashroyale.fandom.com/wiki/Mega_Minion,3.0,Rare,Troop,312.0,837.0,208.0,air
3,Barbarian Bowl,Battle Ram,https://clashroyale.fandom.com/wiki/Battle_Ram,4.0,Rare,Troop,,,,ground
3,Barbarian Bowl,Barbarians,https://clashroyale.fandom.com/wiki/Barbarians,5.0,Common,Troop,192.0,670.0,147.0,ground
3,Barbarian Bowl,Cannon,https://clashroyale.fandom.com/wiki/Cannon,3.0,Common,Building,212.0,824.0,212.0,
3,Barbarian Bowl,Battle Ram,https://clashroyale.fandom.com/wiki/Battle_Ram,4.0,Rare,Troop,,,,ground
3,Barbarian Bowl,Mega Minion,https://clashroyale.fandom.com/wiki/Mega_Minion,3.0,Rare,Troop,312.0,837.0,208.0,air
4,Spell Valley,Electro Spirit,https://clashroyale.fandom.com/wiki/Electro_Spirit,1.0,Common,Troop,99.0,230.0,,ground
4,Spell Valley,Skeleton Dragons,https://clashroyale.fandom.com/wiki/Skeleton_Dragons,4.0,Common,Troop,161.0,560.0,84.0,air
4,Spell Valley,Fire Spirit,https://clashroyale.fandom.com/wiki/Fire_Spirit,1.0,Common,Troop,207.0,230.0,,ground
4,Spell Valley,Bomb Tower,https://clashroyale.fandom.com/wiki/Bomb_Tower,4.0,Rare,Building,222.0,1356.0,123.0,
